station_id,physical_configuration,latitud,longitud,address,post_code,capacity,last_updated
65.0,ELECTRICBIKESTATION,41.387696,2.1696543,"PL. CATALUNYA, 10-11 (PG. DE GRÃCIA)",08002,21.0,1759269304.0
66.0,ELECTRICBIKESTATION,41.3893222,2.1678388,"GRAN VIA DE LES CORTS CATALANES, 609",08007,16.0,1759269304.0
67.0,ELECTRICBIKESTATION,41.3852864,2.1454802,"C/ ROCAFORT, 214 | C/ ROSSELLÃ",08029,24.0,1759269304.0
68.0,ELECTRICBIKESTATION,41.3953894,2.1572953,"RAMBLA CATALUNYA, 133 /  CÃRSEGA",08008,27.0,1759269304.0
69.0,ELECTRICBIKESTATION,41.388507,2.195073,"CARRER DE LA MARINA,25-33",08005,43.0,1759269304.0
70.0,ELECTRICBIKESTATION,41.380393,2.1606506,"C/ COMTE URGELL, 23",08011,27.0,1759269304.0
71.0,ELECTRICBIKESTATION,41.3819459,2.1629146,"C/ FLORIDABLANCA, 145",08011,27.0,1759269304.0
72.0,ELECTRICBIKESTATION,41.3927771,2.1586273,"C/ PROVENÃA, 215",08008,27.0,1759269304.0
73.0,ELECTRICBIKESTATION,41.392135,2.1563542,"C/ ENRIC GRANADOS, 93",08008,27.0,1759269304.0
74.0,ELECTRICBIKESTATION,41.3900085,2.1432105,"AV. JOSEP TARRADELLAS, 133",08029,15.0,1759269304.0
75.0,ELECTRICBIKESTATION,41.385004,2.1429115,"AV. JOSEP TARRADELLAS, 58",08029,21.0,1759269304.0
76.0,ELECTRICBIKESTATION,41.3917666,2.1532163,"C/ CÃRSEGA, 216",08036,32.0,1759269304.0
77.0,ELECTRICBIKESTATION,41.3855644,2.1773214,"AV. FRANCESC CAMBÃ, 10",08003,24.0,1759269304.0
78.0,ELECTRICBIKESTATION,41.3856474,2.1634306,PL. UNIVERSITAT /  ARIBAU,08011,27.0,1759269304.0
79.0,ELECTRICBIKESTATION,41.385503,2.1634768,PL. UNIVERSITAT,08007,24.0,1759269304.0
80.0,ELECTRICBIKESTATION,41.389668,2.1599078,"C/ ENRIC  GRANADOS, 35",08007,25.0,1759269304.0
81.0,ELECTRICBIKESTATION,41.3790718,2.1490553,"C/ VILAMARÃ,  61",08015,21.0,1759269304.0
82.0,ELECTRICBIKESTATION,41.3803180599865,2.1544371248114,"C/ CALÃBRIA, 112",08015,39.0,1759269304.0
83.0,ELECTRICBIKESTATION,41.3821658,2.1520645,"C/ CALABRIA, 158",08015,24.0,1759269304.0
84.0,ELECTRICBIKESTATION,41.3830299,2.1571646,"C/ DEL COMTE D'URGELL, 75 B",08011,27.0,1759269304.0
85.0,ELECTRICBIKESTATION,41.3751852,2.1592394,"AV. PARALÂ·LEL, 146 BIS",08015,40.0,1759269304.0
86.0,ELECTRICBIKESTATION,41.3755747,2.1629349,"C/ VILADOMAT,  2",08015,27.0,1759269304.0
88.0,ELECTRICBIKESTATION,41.3936144,2.1507739,"C/ LONDRES, 101-103",08036,20.0,1759269304.0
89.0,ELECTRICBIKESTATION,41.3871904,2.149131,"C/ ROSSELLÃ,  101",08036,23.0,1759269304.0
90.0,ELECTRICBIKESTATION,41.388296,2.150878,"C/ ROSSELLÃ, 108-110",08036,18.0,1759269304.0
91.0,ELECTRICBIKESTATION,41.3812504,2.1594741,"C/ COMTE D'URGELL, 43",08011,35.0,1759269304.0
92.0,ELECTRICBIKESTATION,41.3938861,2.1601641,"C / PROVENÃA, 241",08008,18.0,1759269304.0
94.0,ELECTRICBIKESTATION,41.3757914,2.1499102,"GRAN  VIA DE LES CORTS CATALANES, 375-385",08015,47.0,1759269304.0
95.0,ELECTRICBIKESTATION,41.3763948,2.1473272,"C/ TARRAGONA, 103-115",08014,33.0,1759269304.0
96.0,ELECTRICBIKESTATION,41.3741093,2.1481993,"GRAN VIA DE LES CORTS CATALANES, 368",08010,21.0,1759269304.0
97.0,ELECTRICBIKESTATION,41.3779613,2.1450491,"C/ TARRAGONA, 141",08014,21.0,1759269304.0
98.0,ELECTRICBIKESTATION,41.3806074,2.1408633,"C/ VIRIAT, 43",08014,21.0,1759269304.0
99.0,ELECTRICBIKESTATION,41.3808222,2.141539,"C/ VIRIAT,  53",08014,21.0,1759269304.0
